Zip Code,Count
56660,1
70198,1
73301,2
74744,1
75227,1
76513,1
76527,1
76537,9
76542,2
76574,3
77433,1
77493,1
77823,1
78130,3
78201,2
78541,1
78573,1
78574,1
78600,1
78602,10
78610,53
78612,12
78613,24
78615,1
78616,15
78617,105
78619,1
78621,5
78626,10
78634,11
78636,2
78640,150
78641,18
78642,4
78644,14
78652,2
78653,18
78656,4
78659,2
78660,38
78664,19
78665,5
78666,10
78681,6
78702,10
78703,2
78704,36
78705,10
78713,2
78717,18
78719,13
78721,24
78722,1
78723,33
78724,64
78725,33
78726,7
78727,13
78728,28
78729,6
78731,27
78732,5
78734,3
78735,22
78736,3
78737,9
78738,3
78739,2
78741,327
787413261,1
78742,12
78744,230
78745,65
78746,2
78747,72
78748,60
78749,17
78750,35
787501947,1
78751,3
78752,44
78753,93
78754,18
78756,1
78757,5
78758,48
78759,38
78764,1
78784,1
78791,1
78953,1
78956,2
